  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_33                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    16.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.7718   0.00707  16.00000  -0.0560  0.3458  0.2637   0.00315
  -7.000  -0.6429   0.00681  16.00000  -0.0588  0.3342  0.2705   0.00285
  -6.000  -0.5136   0.00656  16.00000  -0.0615  0.3230  0.2771   0.00258
  -5.000  -0.3841   0.00643  16.00000  -0.0640  0.3134  0.2832   0.00240
  -4.000  -0.2545   0.00630  16.00000  -0.0665  0.3037  0.2896   0.00224
  -3.000  -0.1247   0.00623  16.00000  -0.0689  0.2939  0.2965   0.00214
  -2.000   0.0049   0.00620  16.00000  -0.0712  0.2861  0.3027   0.00208
  -1.000   0.1348   0.00620  16.00000  -0.0735  0.2774  0.3091   0.00205
   0.000   0.2639   0.00625  16.00000  -0.0756  0.2688  0.3154   0.00207
   1.000   0.3934   0.00630  16.00000  -0.0777  0.2620  0.3227   0.00211
   2.000   0.5219   0.00643  16.00000  -0.0797  0.2538  0.3285   0.00221
   3.000   0.6502   0.00656  16.00000  -0.0816  0.2467  0.3358   0.00233
   4.000   0.7778   0.00674  16.00000  -0.0833  0.2399  0.3425   0.00249
   5.000   0.9045   0.00696  16.00000  -0.0850  0.2331  0.3495   0.00269
   6.000   1.0303   0.00721  16.00000  -0.0864  0.2259  0.3565   0.00293
   7.000   1.1546   0.00751  16.00000  -0.0877  0.2201  0.3638   0.00322
   8.000   1.2778   0.00783  16.00000  -0.0887  0.2133  0.3712   0.00354
   9.000   1.3981   0.00826  16.00000  -0.0894  0.2066  0.3797   0.00396
  10.000   1.5171   0.00869  16.00000  -0.0899  0.2000  0.3864   0.00438
  11.000   1.6314   0.00925  16.00000  -0.0897  0.1931  0.3954   0.00494
  12.000   1.7418   0.00986  16.00000  -0.0890  0.1868  0.4024   0.00555
  13.000   1.8374   0.01062  16.00000  -0.0860  0.1791  0.4117   0.00631
  14.000   1.9202   0.01179  16.00000  -0.0816  0.1723  0.4186   0.00749
  15.000   1.9892   0.01348  16.00000  -0.0765  0.1659  0.4279   0.00923
  16.000   2.0300   0.01679  16.00000  -0.0706  0.1591  0.4350   0.01262
  17.000   1.9615   0.02899  16.00000  -0.0659  0.1530  0.4406   0.02509
