  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_36                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    13.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -10.000  -0.5886   0.05857  13.00000  -0.0077  0.3646  0.2574   0.05547
  -9.000  -0.5102   0.05497  13.00000  -0.0103  0.3509  0.2600   0.05181
  -8.000  -0.4864   0.04629  13.00000  -0.0138  0.3390  0.2665   0.04306
  -7.000  -0.4889   0.03550  13.00000  -0.0179  0.3303  0.2727   0.03217
  -5.000  -0.4661   0.00756  13.00000  -0.0615  0.3111  0.2870   0.00353
  -4.000  -0.3344   0.00740  13.00000  -0.0649  0.2968  0.2900   0.00329
  -3.000  -0.2029   0.00723  13.00000  -0.0682  0.2840  0.2936   0.00306
  -2.000  -0.0715   0.00714  13.00000  -0.0712  0.2718  0.2968   0.00291
  -1.000   0.0596   0.00715  13.00000  -0.0740  0.2600  0.2999   0.00286
   0.000   0.1904   0.00715  13.00000  -0.0766  0.2495  0.3039   0.00281
   1.000   0.3205   0.00722  13.00000  -0.0791  0.2391  0.3075   0.00283
   2.000   0.4503   0.00735  13.00000  -0.0813  0.2290  0.3110   0.00292
   3.000   0.5793   0.00749  13.00000  -0.0834  0.2190  0.3154   0.00302
   4.000   0.7070   0.00771  13.00000  -0.0853  0.2095  0.3193   0.00320
   5.000   0.8342   0.00797  13.00000  -0.0869  0.2019  0.3236   0.00342
   6.000   0.9599   0.00825  13.00000  -0.0883  0.1932  0.3283   0.00368
   7.000   1.0830   0.00866  13.00000  -0.0892  0.1849  0.3326   0.00404
   8.000   1.2051   0.00905  13.00000  -0.0900  0.1783  0.3378   0.00441
   9.000   1.3236   0.00954  13.00000  -0.0902  0.1706  0.3433   0.00489
  10.000   1.4366   0.01016  13.00000  -0.0896  0.1637  0.3478   0.00548
  11.000   1.5391   0.01073  13.00000  -0.0872  0.1580  0.3535   0.00606
  12.000   1.6319   0.01176  13.00000  -0.0839  0.1515  0.3584   0.00708
  13.000   1.7142   0.01306  13.00000  -0.0798  0.1459  0.3645   0.00841
  14.000   1.7779   0.01524  13.00000  -0.0748  0.1409  0.3704   0.01065
  15.000   1.8155   0.01929  13.00000  -0.0700  0.1361  0.3750   0.01481
  16.000   1.7734   0.03000  13.00000  -0.0669  0.1322  0.3791   0.02577
