  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_24                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    13.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.4472   0.00744  13.00000  -0.0964  0.4086  0.0905   0.00282
  -7.000  -0.3232   0.00683  13.00000  -0.0983  0.3975  0.1190   0.00230
  -6.000  -0.1989   0.00631  13.00000  -0.1003  0.3873  0.1554   0.00188
  -5.000  -0.0739   0.00591  13.00000  -0.1022  0.3790  0.1912   0.00159
  -4.000   0.0510   0.00566  13.00000  -0.1040  0.3689  0.2230   0.00140
  -3.000   0.1761   0.00548  13.00000  -0.1058  0.3617  0.2535   0.00128
  -2.000   0.3011   0.00542  13.00000  -0.1075  0.3527  0.2772   0.00125
  -1.000   0.4258   0.00541  13.00000  -0.1092  0.3443  0.2989   0.00126
   0.000   0.5505   0.00543  13.00000  -0.1110  0.3372  0.3168   0.00130
   1.000   0.6745   0.00552  13.00000  -0.1126  0.3291  0.3355   0.00139
   2.000   0.7985   0.00561  13.00000  -0.1143  0.3225  0.3522   0.00150
   3.000   0.9214   0.00577  13.00000  -0.1159  0.3146  0.3684   0.00166
   4.000   1.0441   0.00592  13.00000  -0.1176  0.3076  0.3842   0.00183
   5.000   1.1657   0.00614  13.00000  -0.1191  0.3008  0.3998   0.00206
   6.000   1.2868   0.00635  13.00000  -0.1206  0.2939  0.4155   0.00230
   7.000   1.4063   0.00665  13.00000  -0.1220  0.2862  0.4313   0.00261
   8.000   1.5252   0.00693  13.00000  -0.1234  0.2795  0.4471   0.00292
   9.000   1.6408   0.00741  13.00000  -0.1243  0.2659  0.4630   0.00338
  10.000   1.7495   0.00829  13.00000  -0.1244  0.2388  0.4790   0.00415
  11.000   1.8539   0.00931  13.00000  -0.1239  0.2138  0.4952   0.00507
  12.000   1.9482   0.01071  13.00000  -0.1221  0.1854  0.5116   0.00634
  13.000   1.9886   0.01372  13.00000  -0.1124  0.1360  0.5267   0.00909
  14.000   1.9335   0.02297  13.00000  -0.1002  0.1108  0.5371   0.01848
  15.000   1.6623   0.05728  13.00000  -0.0984  0.1234  0.5375   0.05365
  16.000   1.4949   0.08783  13.00000  -0.1032  0.1149  0.5403   0.08460
  17.000   1.4096   0.11279  13.00000  -0.1102  0.0967  0.5476   0.10973
  18.000   1.3689   0.13273  13.00000  -0.1172  0.0791  0.5582   0.12976
  19.000   1.3437   0.15128  13.00000  -0.1253  0.0629  0.5693   0.14838
  20.000   1.3470   0.16517  13.00000  -0.1326  0.0527  0.5848   0.16233
