  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_30                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    18.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.8156   0.00634  18.00000  -0.0294  0.3611  0.2908   0.00252
  -7.000  -0.6908   0.00582  18.00000  -0.0322  0.3509  0.3180   0.00207
  -6.000  -0.5637   0.00562  18.00000  -0.0349  0.3421  0.3274   0.00186
  -5.000  -0.4362   0.00555  18.00000  -0.0376  0.3323  0.3349   0.00174
  -4.000  -0.3084   0.00544  18.00000  -0.0403  0.3247  0.3423   0.00162
  -3.000  -0.1805   0.00542  18.00000  -0.0429  0.3155  0.3498   0.00156
  -2.000  -0.0524   0.00539  18.00000  -0.0456  0.3087  0.3560   0.00151
  -1.000   0.0755   0.00542  18.00000  -0.0481  0.3001  0.3633   0.00151
   0.000   0.2032   0.00544  18.00000  -0.0507  0.2928  0.3705   0.00153
   1.000   0.3310   0.00551  18.00000  -0.0532  0.2859  0.3780   0.00157
   2.000   0.4583   0.00560  18.00000  -0.0556  0.2791  0.3843   0.00165
   3.000   0.5853   0.00572  18.00000  -0.0580  0.2726  0.3917   0.00176
   4.000   0.7119   0.00585  18.00000  -0.0603  0.2661  0.3983   0.00189
   5.000   0.8376   0.00604  18.00000  -0.0624  0.2590  0.4059   0.00206
   6.000   0.9631   0.00621  18.00000  -0.0646  0.2537  0.4128   0.00225
   7.000   1.0871   0.00647  18.00000  -0.0665  0.2468  0.4205   0.00249
   8.000   1.2106   0.00672  18.00000  -0.0683  0.2407  0.4287   0.00275
   9.000   1.3323   0.00705  18.00000  -0.0699  0.2338  0.4358   0.00307
  10.000   1.4529   0.00738  18.00000  -0.0713  0.2276  0.4444   0.00342
  11.000   1.5653   0.00815  18.00000  -0.0716  0.2059  0.4518   0.00409
  12.000   1.6757   0.00891  18.00000  -0.0717  0.1914  0.4606   0.00480
  13.000   1.7793   0.00987  18.00000  -0.0708  0.1755  0.4684   0.00570
  14.000   1.8629   0.01131  18.00000  -0.0671  0.1542  0.4771   0.00704
  16.000   1.7547   0.03257  18.00000  -0.0532  0.1208  0.4893   0.02869
  17.000   1.3888   0.07658  18.00000  -0.0608  0.1302  0.4852   0.07352
