  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_15                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.2436   0.00736  10.00000  -0.1289  0.4486  0.0131   0.00261
  -7.000  -0.1263   0.00692  10.00000  -0.1289  0.4350  0.0158   0.00213
  -6.000  -0.0086   0.00658  10.00000  -0.1290  0.4206  0.0196   0.00175
  -5.000   0.1093   0.00631  10.00000  -0.1292  0.4070  0.0255   0.00146
  -4.000   0.2273   0.00611  10.00000  -0.1294  0.3938  0.0346   0.00124
  -3.000   0.3454   0.00593  10.00000  -0.1297  0.3830  0.0493   0.00109
  -2.000   0.4634   0.00581  10.00000  -0.1300  0.3712  0.0693   0.00101
  -1.000   0.5813   0.00575  10.00000  -0.1304  0.3595  0.0971   0.00098
   0.000   0.6989   0.00573  10.00000  -0.1309  0.3481  0.1334   0.00102
   1.000   0.8160   0.00577  10.00000  -0.1313  0.3365  0.1768   0.00111
   2.000   0.9329   0.00580  10.00000  -0.1318  0.3273  0.2429   0.00125
   3.000   1.0493   0.00585  10.00000  -0.1324  0.3166  0.3288   0.00143
   4.000   1.1650   0.00592  10.00000  -0.1331  0.3057  0.4496   0.00168
   5.000   1.2796   0.00607  10.00000  -0.1336  0.2933  0.5674   0.00199
   6.000   1.3932   0.00626  10.00000  -0.1341  0.2805  0.6982   0.00236
   7.000   1.4999   0.00649  10.00000  -0.1334  0.2507  1.0000   0.00295
   8.000   1.6057   0.00736  10.00000  -0.1328  0.2171  1.0000   0.00363
   9.000   1.7055   0.00859  10.00000  -0.1313  0.1734  1.0000   0.00460
  10.000   1.7856   0.01103  10.00000  -0.1269  0.0974  1.0000   0.00656
  11.000   1.8628   0.01314  10.00000  -0.1221  0.0573  1.0000   0.00842
  12.000   1.9240   0.01514  10.00000  -0.1146  0.0393  1.0000   0.01033
  13.000   1.9478   0.01840  10.00000  -0.1027  0.0260  1.0000   0.01361
  14.000   1.9135   0.02802  10.00000  -0.0935  0.0203  1.0000   0.02350
  15.000   1.7282   0.05787  10.00000  -0.0945  0.0251  1.0000   0.05412
  16.000   1.5765   0.08622  10.00000  -0.0985  0.0267  1.0000   0.08302
  17.000   1.5159   0.10801  10.00000  -0.1050  0.0238  1.0000   0.10508
  18.000   1.4746   0.12901  10.00000  -0.1132  0.0198  1.0000   0.12630
  19.000   1.4481   0.14793  10.00000  -0.1220  0.0139  1.0000   0.14536
