  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_27                     
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    16.000 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.5775   0.00691  16.00000  -0.0795  0.3870  0.1698   0.00267
  -7.000  -0.4521   0.00643  16.00000  -0.0816  0.3761  0.1929   0.00224
  -6.000  -0.3262   0.00606  16.00000  -0.0837  0.3671  0.2170   0.00192
  -5.000  -0.1999   0.00578  16.00000  -0.0857  0.3575  0.2380   0.00168
  -4.000  -0.0733   0.00562  16.00000  -0.0877  0.3490  0.2571   0.00154
  -3.000   0.0534   0.00550  16.00000  -0.0896  0.3405  0.2740   0.00144
  -2.000   0.1802   0.00546  16.00000  -0.0915  0.3317  0.2878   0.00140
  -1.000   0.3068   0.00545  16.00000  -0.0934  0.3248  0.3025   0.00140
   0.000   0.4333   0.00548  16.00000  -0.0953  0.3167  0.3149   0.00143
   1.000   0.5594   0.00556  16.00000  -0.0971  0.3101  0.3267   0.00150
   2.000   0.6853   0.00564  16.00000  -0.0989  0.3026  0.3388   0.00159
   3.000   0.8105   0.00578  16.00000  -0.1007  0.2964  0.3507   0.00173
   4.000   0.9354   0.00593  16.00000  -0.1024  0.2892  0.3624   0.00189
   5.000   1.0591   0.00615  16.00000  -0.1040  0.2824  0.3737   0.00210
   6.000   1.1826   0.00634  16.00000  -0.1056  0.2764  0.3857   0.00231
   7.000   1.3046   0.00661  16.00000  -0.1070  0.2699  0.3963   0.00259
   8.000   1.4259   0.00689  16.00000  -0.1084  0.2631  0.4079   0.00288
   9.000   1.5452   0.00725  16.00000  -0.1095  0.2566  0.4199   0.00325
  10.000   1.6614   0.00776  16.00000  -0.1103  0.2439  0.4326   0.00373
  11.000   1.7691   0.00872  16.00000  -0.1099  0.2184  0.4449   0.00458
  12.000   1.8752   0.00960  16.00000  -0.1094  0.2015  0.4555   0.00540
  13.000   1.9654   0.01106  16.00000  -0.1068  0.1762  0.4688   0.00675
  14.000   1.9915   0.01419  16.00000  -0.0958  0.1429  0.4800   0.00975
  15.000   1.8908   0.02892  16.00000  -0.0885  0.1281  0.4861   0.02479
  17.000   1.4394   0.09620  16.00000  -0.0964  0.1229  0.4862   0.09315
  18.000   1.3544   0.12186  16.00000  -0.1051  0.1042  0.4904   0.11895
