  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_27                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    16.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.5825   0.01057  16.00000  -0.0754  0.0500  0.0500   0.00494
  -7.000  -0.4589   0.01015  16.00000  -0.0777  0.0500  0.0500   0.00447
  -6.000  -0.3349   0.00984  16.00000  -0.0797  0.0500  0.0500   0.00411
  -5.000  -0.2109   0.00961  16.00000  -0.0817  0.0500  0.0500   0.00385
  -4.000  -0.0867   0.00945  16.00000  -0.0835  0.0500  0.0500   0.00366
  -3.000   0.0373   0.00937  16.00000  -0.0853  0.0500  0.0500   0.00354
  -2.000   0.1612   0.00935  16.00000  -0.0870  0.0500  0.0500   0.00350
  -1.000   0.2847   0.00939  16.00000  -0.0887  0.0500  0.0500   0.00351
   0.000   0.4078   0.00948  16.00000  -0.0903  0.0500  0.0500   0.00359
   1.000   0.5302   0.00964  16.00000  -0.0917  0.0500  0.0500   0.00373
   2.000   0.6519   0.00986  16.00000  -0.0931  0.0500  0.0500   0.00394
   3.000   0.7725   0.01014  16.00000  -0.0944  0.0500  0.0500   0.00421
   4.000   0.8919   0.01049  16.00000  -0.0955  0.0500  0.0500   0.00456
   5.000   1.0096   0.01090  16.00000  -0.0964  0.0500  0.0500   0.00497
   6.000   1.1252   0.01140  16.00000  -0.0970  0.0500  0.0500   0.00547
   7.000   1.2381   0.01198  16.00000  -0.0974  0.0500  0.0500   0.00606
   8.000   1.3471   0.01266  16.00000  -0.0972  0.0500  0.0500   0.00677
   9.000   1.4499   0.01349  16.00000  -0.0962  0.0500  0.0500   0.00762
  10.000   1.5312   0.01459  16.00000  -0.0921  0.0500  0.0500   0.00877
  11.000   1.5872   0.01701  16.00000  -0.0868  0.0500  0.0500   0.01128
  12.000   1.5092   0.03257  16.00000  -0.0857  0.0500  0.0500   0.02727
  14.000   1.1581   0.09007  16.00000  -0.0935  0.0500  0.0500   0.08570
  15.000   1.1464   0.10587  16.00000  -0.0984  0.0500  0.0500   0.10169
  18.000   1.1640   0.14788  16.00000  -0.1150  0.0399  0.0500   0.14407
