  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_15                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.2547   0.00880  10.00000  -0.1270  0.0500  0.0092   0.00303
  -7.000  -0.1383   0.00849  10.00000  -0.1269  0.0500  0.0105   0.00263
  -6.000  -0.0216   0.00825  10.00000  -0.1268  0.0500  0.0123   0.00233
  -5.000   0.0951   0.00808  10.00000  -0.1268  0.0500  0.0159   0.00211
  -4.000   0.2119   0.00799  10.00000  -0.1268  0.0500  0.0198   0.00198
  -3.000   0.3286   0.00797  10.00000  -0.1269  0.0500  0.0270   0.00193
  -2.000   0.4450   0.00800  10.00000  -0.1269  0.0500  0.0394   0.00195
  -1.000   0.5610   0.00812  10.00000  -0.1270  0.0500  0.0500   0.00205
   0.000   0.6765   0.00834  10.00000  -0.1271  0.0500  0.0500   0.00222
   1.000   0.7912   0.00860  10.00000  -0.1271  0.0500  0.0500   0.00245
   2.000   0.9052   0.00891  10.00000  -0.1271  0.0500  0.0500   0.00273
   3.000   1.0181   0.00926  10.00000  -0.1270  0.0500  0.0500   0.00307
   4.000   1.1300   0.00966  10.00000  -0.1269  0.0500  0.0500   0.00346
   5.000   1.2405   0.01011  10.00000  -0.1267  0.0500  0.0500   0.00391
   6.000   1.3494   0.01061  10.00000  -0.1263  0.0500  0.0500   0.00443
   7.000   1.4563   0.01117  10.00000  -0.1258  0.0500  0.0500   0.00501
   8.000   1.5609   0.01180  10.00000  -0.1250  0.0500  0.0500   0.00567
   9.000   1.6604   0.01266  10.00000  -0.1235  0.0452  0.0500   0.00654
  10.000   1.7446   0.01425  10.00000  -0.1196  0.0241  0.0500   0.00805
  11.000   1.8136   0.01584  10.00000  -0.1132  0.0154  0.0500   0.00964
  12.000   1.8181   0.02003  10.00000  -0.0985  0.0003  0.0500   0.01391
  13.000   1.7860   0.03016  10.00000  -0.0913  0.0003  0.0500   0.02435
  16.000   1.4008   0.10953  10.00000  -0.1042  0.0003  0.0500   0.10510
  17.000   1.3821   0.12677  10.00000  -0.1108  0.0003  0.0500   0.12255
  18.000   1.3722   0.14333  10.00000  -0.1185  0.0002  0.0500   0.13930
  19.000   1.3767   0.15737  10.00000  -0.1260  0.0002  0.0500   0.15348
  20.000   1.3775   0.17289  10.00000  -0.1358  0.0002  0.0500   0.16918
