  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_21                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    12.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.5978   0.00947  12.00000  -0.0562  0.0500  0.0236   0.00357
  -7.000  -0.4798   0.00906  12.00000  -0.0569  0.0500  0.0288   0.00314
  -6.000  -0.3611   0.00873  12.00000  -0.0577  0.0500  0.0360   0.00281
  -5.000  -0.2419   0.00847  12.00000  -0.0586  0.0500  0.0456   0.00255
  -4.000  -0.1220   0.00835  12.00000  -0.0594  0.0500  0.0500   0.00241
  -3.000  -0.0020   0.00833  12.00000  -0.0603  0.0500  0.0500   0.00235
  -2.000   0.1180   0.00835  12.00000  -0.0612  0.0500  0.0500   0.00234
  -1.000   0.2378   0.00842  12.00000  -0.0621  0.0500  0.0500   0.00238
   0.000   0.3573   0.00853  12.00000  -0.0630  0.0500  0.0500   0.00247
   1.000   0.4764   0.00869  12.00000  -0.0639  0.0500  0.0500   0.00261
   2.000   0.5950   0.00889  12.00000  -0.0648  0.0500  0.0500   0.00281
   3.000   0.7130   0.00915  12.00000  -0.0656  0.0500  0.0500   0.00306
   4.000   0.8301   0.00945  12.00000  -0.0664  0.0500  0.0500   0.00337
   5.000   0.9462   0.00981  12.00000  -0.0671  0.0500  0.0500   0.00374
   6.000   1.0611   0.01022  12.00000  -0.0677  0.0500  0.0500   0.00416
   7.000   1.1744   0.01069  12.00000  -0.0681  0.0500  0.0500   0.00466
   8.000   1.2859   0.01123  12.00000  -0.0684  0.0500  0.0500   0.00522
   9.000   1.3949   0.01184  12.00000  -0.0684  0.0500  0.0500   0.00587
  10.000   1.5008   0.01254  12.00000  -0.0680  0.0500  0.0500   0.00661
  11.000   1.6022   0.01335  12.00000  -0.0671  0.0500  0.0500   0.00748
  12.000   1.6851   0.01470  12.00000  -0.0636  0.0421  0.0500   0.00883
  13.000   1.7415   0.01669  12.00000  -0.0570  0.0371  0.0500   0.01088
  14.000   1.7307   0.02375  12.00000  -0.0501  0.0294  0.0500   0.01812
  15.000   1.5321   0.05383  12.00000  -0.0553  0.0329  0.0500   0.04889
  16.000   1.3328   0.08808  12.00000  -0.0653  0.0363  0.0500   0.08373
  17.000   1.2684   0.11125  12.00000  -0.0748  0.0323  0.0500   0.10715
  18.000   1.2481   0.12933  12.00000  -0.0831  0.0301  0.0500   0.12542
  20.000   1.2362   0.16208  12.00000  -0.1014  0.0223  0.0500   0.15843
