  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_30                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    18.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.4720   0.03517  18.00000  -0.0165  0.0500  0.0500   0.02995
  -7.000  -0.4529   0.02844  18.00000  -0.0171  0.0500  0.0500   0.02311
  -6.000  -0.4726   0.02083  18.00000  -0.0158  0.0500  0.0500   0.01536
  -5.000  -0.4481   0.01369  18.00000  -0.0214  0.0500  0.0500   0.00805
  -4.000  -0.3141   0.01107  18.00000  -0.0334  0.0500  0.0500   0.00529
  -3.000  -0.1905   0.01059  18.00000  -0.0367  0.0500  0.0500   0.00477
  -2.000  -0.0671   0.01030  18.00000  -0.0395  0.0500  0.0500   0.00447
  -1.000   0.0564   0.01013  18.00000  -0.0420  0.0500  0.0500   0.00428
   0.000   0.1797   0.01006  18.00000  -0.0444  0.0500  0.0500   0.00419
   1.000   0.3027   0.01006  18.00000  -0.0466  0.0500  0.0500   0.00419
   2.000   0.4253   0.01013  18.00000  -0.0486  0.0500  0.0500   0.00426
   3.000   0.5471   0.01027  18.00000  -0.0505  0.0500  0.0500   0.00441
   4.000   0.6681   0.01049  18.00000  -0.0522  0.0500  0.0500   0.00462
   5.000   0.7877   0.01077  18.00000  -0.0537  0.0500  0.0500   0.00492
   6.000   0.9058   0.01113  18.00000  -0.0550  0.0500  0.0500   0.00529
   7.000   1.0217   0.01157  18.00000  -0.0560  0.0500  0.0500   0.00574
   8.000   1.1348   0.01209  18.00000  -0.0566  0.0500  0.0500   0.00629
   9.000   1.2436   0.01273  18.00000  -0.0566  0.0500  0.0500   0.00695
  10.000   1.3458   0.01350  18.00000  -0.0557  0.0500  0.0500   0.00776
  11.000   1.4245   0.01456  18.00000  -0.0513  0.0500  0.0500   0.00887
  12.000   1.4834   0.01671  18.00000  -0.0463  0.0500  0.0500   0.01111
  15.000   0.9688   0.10002  18.00000  -0.0660  0.0500  0.0500   0.09586
  17.000   0.9844   0.12785  18.00000  -0.0783  0.0500  0.0500   0.12400
  18.000   1.0048   0.14010  18.00000  -0.0845  0.0482  0.0500   0.13636
