  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_36                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    13.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -10.000  -0.0835   0.11286  13.00000  -0.0017  0.0500  0.0500   0.10800
  -9.000  -0.0338   0.10436  13.00000  -0.0054  0.0500  0.0500   0.09942
  -8.000   0.0168   0.09624  13.00000  -0.0087  0.0500  0.0500   0.09124
  -7.000   0.0781   0.08999  13.00000  -0.0116  0.0500  0.0500   0.08496
  -6.000   0.1296   0.08226  13.00000  -0.0147  0.0500  0.0500   0.07716
  -5.000   0.1817   0.07473  13.00000  -0.0176  0.0500  0.0500   0.06958
  -4.000   0.2338   0.06755  13.00000  -0.0204  0.0500  0.0500   0.06235
  -3.000   0.2861   0.06070  13.00000  -0.0230  0.0500  0.0500   0.05545
  -2.000   0.3381   0.05419  13.00000  -0.0255  0.0500  0.0500   0.04889
  -1.000   0.3891   0.04802  13.00000  -0.0278  0.0500  0.0500   0.04267
   0.000   0.4380   0.04221  13.00000  -0.0298  0.0500  0.0500   0.03683
   1.000   0.4823   0.03673  13.00000  -0.0314  0.0500  0.0500   0.03131
   2.000   0.4956   0.03004  13.00000  -0.0322  0.0500  0.0500   0.02456
   4.000   0.6310   0.01361  13.00000  -0.0689  0.0500  0.0500   0.00760
   5.000   0.7576   0.01339  13.00000  -0.0724  0.0500  0.0500   0.00734
   6.000   0.8756   0.01357  13.00000  -0.0736  0.0500  0.0500   0.00752
   7.000   0.9841   0.01393  13.00000  -0.0732  0.0500  0.0500   0.00788
   8.000   1.0753   0.01453  13.00000  -0.0701  0.0500  0.0500   0.00850
   9.000   1.1648   0.01568  13.00000  -0.0678  0.0500  0.0500   0.00969
  10.000   1.2348   0.01765  13.00000  -0.0643  0.0500  0.0500   0.01173
  11.000   1.2722   0.02196  13.00000  -0.0612  0.0500  0.0500   0.01618
  12.000   1.2257   0.03465  13.00000  -0.0623  0.0500  0.0500   0.02920
  16.000   0.8707   0.12598  13.00000  -0.0989  0.0500  0.0500   0.12187
  17.000   0.8719   0.14298  13.00000  -0.1085  0.0500  0.0500   0.13906
  18.000   0.8958   0.15603  13.00000  -0.1165  0.0500  0.0500   0.15223
