  
       RFOIL         Version 1.1
  
 Calculated polar for: hand_ga2_24                     
  
 1  Reynolds number fixed
  
 xtrf =   0.050 (suction)    0.050 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =    13.000 e 6     Ncrit =   3.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
  -8.000  -0.4565   0.00961  13.00000  -0.0940  0.0500  0.0419   0.00385
  -7.000  -0.3339   0.00923  13.00000  -0.0958  0.0500  0.0500   0.00346
  -6.000  -0.2110   0.00906  13.00000  -0.0973  0.0500  0.0500   0.00324
  -5.000  -0.0880   0.00896  13.00000  -0.0988  0.0500  0.0500   0.00309
  -4.000   0.0348   0.00892  13.00000  -0.1003  0.0500  0.0500   0.00300
  -3.000   0.1575   0.00892  13.00000  -0.1017  0.0500  0.0500   0.00298
  -2.000   0.2799   0.00899  13.00000  -0.1032  0.0500  0.0500   0.00301
  -1.000   0.4019   0.00910  13.00000  -0.1046  0.0500  0.0500   0.00309
   0.000   0.5232   0.00927  13.00000  -0.1059  0.0500  0.0500   0.00324
   1.000   0.6439   0.00950  13.00000  -0.1072  0.0500  0.0500   0.00345
   2.000   0.7636   0.00978  13.00000  -0.1084  0.0500  0.0500   0.00371
   3.000   0.8823   0.01012  13.00000  -0.1095  0.0500  0.0500   0.00404
   4.000   0.9995   0.01052  13.00000  -0.1105  0.0500  0.0500   0.00444
   5.000   1.1151   0.01099  13.00000  -0.1112  0.0500  0.0500   0.00492
   6.000   1.2285   0.01154  13.00000  -0.1118  0.0500  0.0500   0.00547
   7.000   1.3391   0.01217  13.00000  -0.1120  0.0500  0.0500   0.00612
   8.000   1.4458   0.01291  13.00000  -0.1117  0.0500  0.0500   0.00688
   9.000   1.5465   0.01379  13.00000  -0.1106  0.0500  0.0500   0.00779
  10.000   1.6279   0.01490  13.00000  -0.1065  0.0500  0.0500   0.00895
  11.000   1.6856   0.01706  13.00000  -0.1006  0.0500  0.0500   0.01121
  12.000   1.6368   0.02953  13.00000  -0.0973  0.0500  0.0500   0.02405
  13.000   1.3051   0.07139  13.00000  -0.0982  0.0500  0.0500   0.06670
  14.000   1.2579   0.09019  13.00000  -0.1024  0.0500  0.0500   0.08575
  15.000   1.2601   0.10329  13.00000  -0.1056  0.0500  0.0500   0.09902
  16.000   1.2459   0.11965  13.00000  -0.1108  0.0443  0.0500   0.11553
  17.000   1.2417   0.13547  13.00000  -0.1169  0.0400  0.0500   0.13149
  18.000   1.2502   0.14856  13.00000  -0.1226  0.0335  0.0500   0.14467
  19.000   1.2667   0.16086  13.00000  -0.1290  0.0306  0.0500   0.15707
  20.000   1.2834   0.17311  13.00000  -0.1362  0.0261  0.0500   0.16940
