svbl RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     5.6713281
Re          => 0.15000000E+07
Cl          =>     1.2999998
Cd          =>     0.0129784
Cm          =>    -0.1554506
 240
        62.05210114     0.25870761
        63.10641861     0.29359069
        64.15753937     0.30659297
        65.20300293     0.31515190
        66.24215698     0.32357284
        67.27466583     0.33274105
        68.30045319     0.34211561
        69.31962585     0.35207781
        70.33226776     0.36142167
        71.33852386     0.37088427
        72.33860779     0.37985352
        73.33271790     0.38828352
        74.32110596     0.39645955
        75.30401611     0.40370390
        76.28171539     0.41048637
        77.25451660     0.41655812
        78.22270966     0.42208531
        79.18664551     0.42662475
        80.14661407     0.43046477
        81.10299683     0.43359604
        82.05615997     0.43587747
        83.00643158     0.43723252
        83.95420074     0.43784139
        84.89984131     0.43740740
        85.84371185     0.43620899
        86.78618622     0.43349662
        87.72760010     0.43053117
        88.66827393     0.42571524
        89.60845184     0.42010799
        90.54829407     0.41295370
        91.48779297     0.40469393
        92.42645264     0.39442053
        93.36303711     0.38272974
        94.29545593     0.36890736
        95.21791077     0.35241768
        96.11701965     0.33332267
        96.97885895     0.31127444
        97.78775024     0.28530321
        98.50027466     0.25272629
        99.09001923     0.20995121
        99.57958221     0.15406756
       100.00000000     0.03747290
