 RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     6.5301633
Re          => 0.15000000E+07
Cl          =>     1.2999998
Cd          =>     0.0212011
Cm          =>    -0.1624359
 240
        60.80190659     0.23418276
        61.92418289     0.25781134
        63.05254745     0.28110030
        64.17662811     0.30346313
        65.28913116     0.32490787
        66.38858795     0.34517655
        67.47421265     0.36426708
        68.54576111     0.38205972
        69.60325623     0.39858547
        70.64664459     0.41380307
        71.67597198     0.42774412
        72.69137573     0.44039550
        73.69287872     0.45191583
        74.68059540     0.46227691
        75.65467072     0.47162852
        76.61528015     0.48003921
        77.56267548     0.48760763
        78.49713898     0.49439546
        79.41904449     0.50046223
        80.32885742     0.50590509
        81.22710419     0.51076710
        82.11439514     0.51504463
        82.99142456     0.51877087
        83.85900879     0.52191728
        84.71803284     0.52449328
        85.56951141     0.52639192
        86.41458893     0.52759939
        87.25444794     0.52796656
        88.09049988     0.52740151
        88.92424774     0.52573985
        89.75733185     0.52272242
        90.59164429     0.51818329
        91.42933655     0.51171130
        92.27249146     0.50284058
        93.12309265     0.49110529
        93.98380280     0.47574362
        94.85690308     0.45564708
        95.73714447     0.42977872
        96.61314392     0.39633366
        97.47888184     0.35300502
        98.29432678     0.29672167
        98.98062134     0.22895829
        99.53546906     0.14793901
       100.00000000     0.01403224
