 RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     3.7245424
Re          => 0.15000000E+07
Cl          =>     1.3000000
Cd          =>     0.0508788
Cm          =>    -0.2445516
 240
        54.69024277    -0.02981698
        56.06396103     0.00740927
        57.47336197     0.04471379
        58.92244720     0.08282953
        60.41469574     0.12143110
        61.95155334     0.16002922
        63.51691437     0.19814740
        65.04925537     0.23446028
        66.52530670     0.26779410
        67.94213867     0.29839769
        69.30140686     0.32609776
        70.60545349     0.35114250
        71.85704803     0.37341782
        73.05911255     0.39321855
        74.21454620     0.41077676
        75.32624817     0.42605302
        76.39714813     0.43945602
        77.43016815     0.45108196
        78.42814636     0.46119204
        79.39389038     0.46981707
        80.33020782     0.47728893
        81.23978424     0.48354957
        82.12526703     0.48877093
        82.98924255     0.49296871
        83.83425903     0.49619171
        84.66285706     0.49843714
        85.47752380     0.49971363
        86.28082275     0.49989894
        87.07534790     0.49887630
        87.86374664     0.49659017
        88.64895630     0.49275085
        89.43399048     0.48725793
        90.22229004     0.47954234
        91.01794434     0.46934244
        91.82578278     0.45585570
        92.65106964     0.43860134
        93.50077057     0.41586909
        94.38592529     0.38609883
        95.31803894     0.34668866
        96.29875183     0.29423729
        97.34127045     0.22178243
        98.42245483     0.12071650
        99.31732941     0.00851434
       100.00000000    -0.17481695
