 RFOIL-96 
 F0I      1.0000000 c/r      0.0000000
Alpha  =>     5.9163742
Re          => 0.15000000E+07
Cl          =>     1.3000000
Cd          =>     0.0171940
Cm          =>    -0.1751481
 240
        59.68928909     0.21428154
        60.80190659     0.23744993
        61.92418289     0.26076743
        63.05254745     0.28418109
        64.17662811     0.30692163
        65.28913116     0.32915118
        66.38858795     0.35051993
        67.47421265     0.37108085
        68.54576111     0.39064834
        69.60325623     0.40929464
        70.64664459     0.42689785
        71.67597198     0.44348237
        72.69137573     0.45886061
        73.69287872     0.47330025
        74.68059540     0.48648861
        75.65467072     0.49864057
        76.61528015     0.50970334
        77.56267548     0.51974326
        78.49713898     0.52871770
        79.41904449     0.53660613
        80.32885742     0.54357702
        81.22710419     0.54963881
        82.11439514     0.55470723
        82.99142456     0.55887336
        83.85900879     0.56206173
        84.71803284     0.56438190
        85.56951141     0.56561345
        86.41458893     0.56588072
        87.25444794     0.56494313
        88.09049988     0.56280154
        88.92424774     0.55929440
        89.75733185     0.55410987
        90.59164429     0.54724175
        91.42933655     0.53820318
        92.27249146     0.52654183
        93.12309265     0.51195115
        93.98380280     0.49372801
        94.85690308     0.47082064
        95.73714447     0.44254217
        96.61314392     0.40714195
        97.47888184     0.36289945
        98.29432678     0.30670348
        98.98062134     0.23959677
        99.53546906     0.15928118
       100.00000000     0.01022053
