9.999999999999998890e-01 9.800000000000101599e-04
9.841340361651920166e-01 2.582216010877259622e-03
9.682720665019324269e-01 4.470600168668319684e-03
9.524180841762578398e-01 6.660139168027427725e-03
9.365760803434354242e-01 9.137145225069488383e-03
9.207500431432115162e-01 1.187183400684710746e-02
9.049439566958173975e-01 1.482719660051099939e-02
8.891618000989889303e-01 1.796493622271194690e-02
8.734075464262507360e-01 2.124913855798399656e-02
8.576851617267149397e-01 2.464824611628037287e-02
8.419986040266501659e-01 2.813581368141652300e-02
8.263518223330695855e-01 3.169043525258809224e-02
8.107487556395898132e-01 3.529515394377197995e-02
7.951933319348093443e-01 3.893659582028523303e-02
7.796894672134594417e-01 4.260400700243246325e-02
7.642410644905727191e-01 4.628832063637829813e-02
7.488520128189207758e-01 4.998133634284610688e-02
7.335261863099650226e-01 5.367505910410705350e-02
7.182674431585703845e-01 5.736121665886308868e-02
7.030796246717250231e-01 6.103095362598316698e-02
6.879665543015128781e-01 6.467468595867199854e-02
6.729320366825783939e-01 6.828209007050846380e-02
6.579798566743311206e-01 7.184219618239209848e-02
6.431137784081281117e-01 7.534355423361374648e-02
6.283375443396724824e-01 7.877444223751790819e-02
6.136548743068714895e-01 8.212309045935051177e-02
5.990694645933862805e-01 8.537789954569638406e-02
5.845849869981135649e-01 8.852763612698522078e-02
5.702050879108284676e-01 9.156159493126493631e-02
5.559333873942259308e-01 9.446972167547404431e-02
5.417734782725895926e-01 9.724269562817494661e-02
5.277289252273172915e-01 9.987197455102987675e-02
5.138032638995313484e-01 1.023498076013675678e-01
5.000000000000001110e-01 1.046692236717253199e-01
4.863226084265935834e-01 1.068240035800396837e-01
4.727745323894976259e-01 1.088086445883211656e-01
4.593591825444023335e-01 1.106183250433616372e-01
4.460799361338897429e-01 1.122488756551885125e-01
4.329401361372292589e-01 1.136967622294313141e-01
4.199430904288018462e-01 1.149590827253329922e-01
4.070920709453594855e-01 1.160335794931305065e-01
3.943903128623333920e-01 1.169186656096892762e-01
3.818410137793947223e-01 1.176134625146224993e-01
3.694473329154774888e-01 1.181178447586284930e-01
3.572123903134606371e-01 1.184324866889941430e-01
3.451392660547150104e-01 1.185589053597956022e-01
3.332309994837083789e-01 1.184994938802881592e-01
3.214905884428678196e-01 1.182575397885251428e-01
3.099209885178879631e-01 1.178372238160043661e-01
2.985251122936787294e-01 1.172435955283909620e-01
2.873058286211370715e-01 1.164825237051831108e-01
2.762659618949298013e-01 1.155606208639668592e-01
2.654082913424666845e-01 1.144851429432038048e-01
2.547355503242452190e-01 1.132638667316957504e-01
2.442504256457417311e-01 1.119049490785803541e-01
2.339555568810219865e-01 1.104167731505567712e-01
2.238535357082431787e-01 1.088077879527040853e-01
2.139469052572124941e-01 1.070863479426371612e-01
2.042381594691679014e-01 1.052605598111098079e-01
1.947297424689413692e-01 1.033381433622437423e-01
1.854240479496642724e-01 1.013263129106046767e-01
1.763234185701672008e-01 9.923168474721649757e-02
1.674301453652287108e-01 9.706021505691223017e-02
1.587464671688187945e-01 9.481717125489629028e-02
1.502745700504856119e-01 9.250713812260560887e-02
1.420165867650229341e-01 9.013405844158638158e-02
1.339745962155614034e-01 8.770130613293217192e-02
1.261506229302150617e-01 8.521178829260357690e-02
1.185466365524179277e-01 8.266807104943238449e-02
1.111645513450765232e-01 8.007252293478664407e-02
1.040062257086641351e-01 7.742746850170723061e-02
9.707346171337882801e-02 7.473534431400079281e-02
9.036800464548166989e-02 7.199884917367313508e-02
8.389154256793041053e-02 6.922108058246780049e-02
7.764570589541863743e-02 6.640564993678839401e-02
7.163206698392743377e-02 6.355676981425618932e-02
6.585213973489323358e-02 6.067930788764711036e-02
